Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
1483,5,5,5
1484,5,9,6
1485,5,5,8
1486,6,5,6
1487,7,5,5
1488,5,6,5
1489,5,6,6
1490,5,6,5
1491,6,6,7
1492,6,5,7
1493,8,5,6
1494,19,14,5
1495,5,5,7
1496,6,5,5
1497,5,5,12
1498,5,6,5
1499,6,5,5
1500,6,5,7
1501,5,5,8
1502,6,5,6
1503,5,6,6
1504,5,6,17
1505,5,5,6
1506,5,5,14
1507,12,7,5
1508,5,6,6
1509,5,8,5
1510,5,5,8
1511,5,5,7
1512,11,5,5
1513,5,7,5
1514,5,12,6
1515,8,5,5
1516,5,6,8
1517,6,6,6
1518,11,10,6
1519,5,9,6
1520,5,5,5
1521,5,15,15
1522,6,5,5
1523,5,5,24
1524,5,5,7
1525,6,6,5
1526,6,6,5
1527,13,7,5
1528,5,8,18
1529,5,6,5
1530,5,6,5
1531,7,6,6
1532,5,5,5
1533,6,5,5
1534,6,13,16
1535,5,11,5
1536,5,5,5
1537,5,6,7
1538,5,6,6
1539,5,6,5
1540,5,6,6
1541,5,5,8
1542,5,9,11
1543,6,6,5
1544,5,5,6
1545,6,6,5
1546,6,6,5
1547,5,6,5
1548,5,6,5
1549,7,7,5
1550,14,6,5
1551,5,7,6
1552,6,7,5
1553,5,7,5
1554,11,12,14
1555,6,8,15
1556,5,5,10
1557,5,11,8
1558,6,19,5
1559,5,5,8
1560,5,5,6
1561,7,6,5
1562,5,5,5
1563,5,6,8
1564,6,5,5
1565,6,10,5
1566,5,15,5
1567,6,5,5
1568,5,7,7
1569,5,7,7
1570,5,5,6
1571,5,12,5
1572,17,5,5
1573,6,5,5
1574,5,5,12
1575,6,6,10
1576,5,7,5
1577,5,6,5
1578,6,6,6
1579,6,5,5
1580,5,6,6
1581,11,9,5
1582,5,5,6
1583,5,5,5
1584,5,5,5
1585,6,5,5
1586,5,7,5
1587,5,8,5
1588,6,6,5
1589,7,8,5
1590,5,7,5
1591,7,7,5
1592,6,5,5
1593,5,5,8
1594,6,6,8
1595,13,11,5
1596,7,7,5
1597,5,6,6
1598,5,5,8
1599,5,5,6
1600,5,6,5
1601,7,5,5
1602,6,6,6
1603,5,6,5
1604,6,15,7
1605,6,5,5
1606,6,11,7
1607,5,7,5
1608,5,5,15
1609,5,11,5
1610,7,5,6
1611,7,7,5
1612,7,6,8
1613,5,6,7
1614,8,5,6
1615,7,6,5
1616,5,5,17
1617,5,5,6
1618,9,6,6
1619,5,6,5
1620,6,6,7
1621,7,6,5
1622,5,8,17
1623,5,6,5
1624,6,6,5
1625,5,5,8
1626,5,7,5
